Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence,Study,Notes,Tags
Stiff person syndrome as the initial manifestation of systemic lupus erythematosus-case report,"Munhoz, R. P.; Moscovich, M. M.; Fameli, H.; Filla, L.; Teive, H.",,2010,,Movement Disorders,25,7,S522-S523,WOS:000278341101473,,,5839,Munhoz 2010,"Benjamin Vlad (2023-05-25 08:10:48)(Select): Potential duplicate with 	
#5840 - Munhoz 2009; ",
STIFF-PERSON SYNDROME WITH AMPHIPHYSIN ANTIBODIES: DISTINCTIVE FEATURES OF A RARE DISEASE Reply,"Murinson, B. B.; Guarnaccia, J. B.",,2009,Dec,Neurology,73,24,2133-2133,WOS:000272709500022,,,5850,Murinson 2009,"Benjamin Vlad (2023-05-25 08:22:47)(Select): 2008, not 2009; ",
Successful Treatment of Stiff Person Syndrome with Sequential Use of Tacrolimus,"Nakane, S.; Kawabata, Y.; Urushihara, R.; Harada, M.; Kaji, R.",,2009,Mar,Neurology,72,11,A302-A302,WOS:000264527901580,,,5861,Nakane 2009,,
Unable to Relax: A Case of Stiff Person Syndrome,"Ning, W.; Iantorno, S.; Zhong, C.; Li, S.",,2020,,American Journal of Respiratory and Critical Care Medicine,201,,,WOS:000556622804126,,,5884,Ning 2020,,
"UNUSUAL ELECTROMYOGRAPHIC FINDINGS IN A PATIENT WITH PRESUMPTIVE HASHIMOTO'S THYROIDITIS, STIFF-PERSON SYNDROME, AND HERPES ZOSTER MYELORADICULITIS","Ha, J.; Gorin, F.; Zhang, L.; Oskarsson, B.; Maselli, R.",,2015,Oct,Muscle & Nerve,52,,S68-S68,WOS:000362547600112,,,5963,Ha 2015,,
DON'T CALL THE PSYCHIATRIST JUST YET; A CASE REPORT OF STIFF-PERSON SYNDROME,"Hallak, A.; Hazam, R.; Amin, M. K.; Alhbshi, K.; Islam, S.; Saadaldin, M.",,2020,Jul,Journal of General Internal Medicine,35,SUPPL 1,S448-S449,WOS:000567143601368,,,5970,Hallak 2020,,Review Article
Plasmapheresis and immunosuppression in stiff-man syndrome with type 1 diabetes: A two year study,"Hao, W.; Davis, C.; Hirsch, I. B.; Eng, L.; Daniels, T.; Lernmark, A.",,1998,Mar,Journal of Investigative Medicine,46,3,230A-230A,WOS:000073335300239,,,5985,Hao 1998,,
Treatment resistant jerky stiff person syndrome,"Harrower, T. P.; Barker, R.; Baron, J.; Coles, A.",,2006,,Movement Disorders,21,,S432-S432,WOS:000241058000379,,,5992,Harrower 2006,,
Distinct immune reactivity to GAD-65 in stiff man syndrome and type I diabetes,"Hawa, M. I.; Lohmann, T.; Leslie, R. D. G.; Londei, M.",,1998,Aug,Diabetologia,41,,A93-A93,WOS:000075353800366,,,6000,Hawa 1998,,
Therapeutic Plasma Exchange in an Uncommon Disease: Stiff-Person Syndrome: Case Report,"Hergunsel, O.; Altun, D.; Cukurova, Z.; Eren, G.; Yayla, V.","Stiff-Person syndrome (SPS) is a rare and disabling disorder characterized by continuous motor unit activity causing severe rigidity and episodic spasms in axial and limb muscles. It deteriorates the quality of life and causes a serious burden in the patient's life. It is frequently associated with other autoimmune diseases such as diabetes mellitus. Treatment with intravenous immunoglobulin, anti-anxiety drugs, muscle relaxants, anti-convulsants will improve symptoms, but will not cure the disorder. Therapeutic plasma exchange is an alternative treatment for the patients resistant to other treatment options. Here, we report a patient with SPS treated in intensive care unit and underwent therapeutic plasma exchange.",2012,Dec,Turkiye Klinikleri Tip Bilimleri Dergisi,32,6,1762-1765,WOS:000314145000043,10.5336/medsci.2011-24476,,6010,Hergunsel 2012,,
Paraneoplastic encephalomyelitis associated with pancreatic tumor and anti-GAD antibodies,"Hernandez-Echebarria, L.; Saiz, A.; Ares, A.; Tejada, J.; Garcia-Tunon, L.; Nieves, C.; Graus, F.",,2006,Feb,Neurology,66,3,450-451,WOS:000235348600036,10.1212/01.wnl.0000196488.87746.7b,,6012,Hernandez-Echebarria 2006,,
Paraneoplastic stiff-person syndrome and anti-Ri antibodies in metastatic breast cancer,"Hoffmann, L. A.; Ditsch, N.; Kuempfel, T.; Dudel, C.; Wick, M.; Voltz, R.",,2007,May,Journal of Neurology,254,,08-Aug,WOS:000247034400022,,,6021,Hoffmann 2007,,
"Progressive encephalomyelitis, rigidity, and myoclonus: A novel glycine receptor antibody","Hutchinson, M.; Waters, P.; McHugh, J.; Gorman, G.; O'Riordan, S.; Connolly, S.; Hager, H.; Yu, P.; Becker, C. M.; Vincent, A.",,2008,Oct,Neurology,71,16,1291-1292,WOS:000259986300014,10.1212/01.wnl.0000327606.50322.f0,,6054,Hutchinson 2008,,
"Glycine Receptor Antibodies in Immune-Mediated Movement Disorders: Progressive Encephalomyelitis with Rigidity and Myoclonus, Opsoclonus-Myoclonus Syndrome, and Ocular Flutter Syndrome","Iizuka, T.; Urano, Y.; Miyakawa, S.; Hamada, J.; Leite, M. I.; Vincent, A.; Sakai, F.; Mochizuki, H.",,2010,Mar,Neurology,74,9,A84-A85,WOS:000275274000328,,,6060,Iizuka 2010,Manfredi Carta (2024-07-05 22:39:46)(Included): duplicate of #589; Yasamin Mahjoub (2023-06-11 19:37:05)(Select): Requested through UCalgary Interlibrary Loan; Yasamin Mahjoub (2023-06-08 08:23:44)(Select): Not on Neurology journal online archives; ,
"Glycine receptor antibodies in progressive encephalomyelitis with rigidity and myclonus, hyperekplexia, stiff person syndrome and other neurological conditions","Isabel, L. M.; Patrick, W.; Cord-Michael, B.; Christian, J.; Benjamin, M.; Hans-Michael, M.; Angela, V.",,2010,Nov,Journal of Neuroimmunology,228,01-Feb,158-158,WOS:000283694400447,,,6068,Isabel 2010,,
Progressive encephalomyelitis with rigidity associated with anti-amphiphysin antibodies,"Ishii, A.; Hayashi, A.; Ohkoshi, N.; Matsuno, S.; Shoji, S.",,2004,Apr,Journal of Neurology Neurosurgery and Psychiatry,75,4,661-662,WOS:000220255100038,,,6072,Ishii 2004,,
Detection of gephyrin antibody in stiff-person syndrome,"Ishii, A.; Hayashi, A.; Ohkoshi, N.; Shoji, S.",,2002,Jul,Journal of the Neurological Sciences,199,,S77-S77,WOS:000180247400338,,,6073,Ishii 2002,,
STIFF-LIMB SYNDROME WITH IDENTIFICATION OF GLUTAMIC ACID ANTIDECARBOXYLASE ANTIBODY GAD65: A CASE REPORT,"Jaramillo, N.; Pena, C.",,2020,Oct,Muscle & Nerve,62,,S33-S33,WOS:000571222600063,,,6089,Jaramillo 2020,,Review Article
Stiff as a board: Diagnosis and intravenous immunoglobulin therapy in a teenager with Stiff-person syndrome,"Johnson, N.; Banwell, B.; Schneider, R.; Benseler, S.; Boros, C.; Silverman, E.",,2004,Jul,Journal of Rheumatology,31,7,1438-1438,WOS:000222481600076,,,6101,Johnson 2004,Yasamin Mahjoub (2023-06-08 08:25:42)(Select): requested through UCalgary Interlibrary Loan; ,
Can progressive encephalomyelitis with rigidity mimic motor neuron disease? Case report and review of the literature,"Jungehulsing, G. J.; Behse, F.; Grosse, P.",,2005,Jul,Journal of Neurology,252,7,863-865,WOS:000230318600024,10.1007/s00415-005-0782-3,,6106,Jungehulsing 2005,,
"Rituximab therapy in a patient with recurrent Hashimoto's encephalitis, anti-GAD antibodies and progressive encephalomyelitis with rigidity and myoclonus","Kassar, D.; Damodaram, S.; Chand, P.; Iyadurai, S.",,2012,Jun,Journal of Neurology,259,,S94-S94,WOS:000306083200260,,,6128,Kassar 2012,,
Patient with stiff-person syndrome and negative anti-GAD antibodies,"Petelin, Z.; Brinar, V.; Honnorat, J.; Budisic, Z.; Podolski, P.",,2007,May,Journal of Neurology,254,,138-138,WOS:000247034400524,,,6141,Petelin 2007,,
AUTOIMMUNE MYASTHENIA-GRAVIS WITH THYMOMA FOLLOWING THE SPONTANEOUS REMISSION OF STIFF-MAN SYNDROME,"Piccolo, G.; Martino, G.; Moglia, A.; Arrigo, A.; Cosi, V.",,1990,Apr,Italian Journal of Neurological Sciences,11,2,177-180,WOS:A1990DE29400008,10.1007/bf02335562,,6152,Piccolo 1990,,
Stiff person syndrome (SPS): Literature review and case report,"Pretorius, E.; Struwig, W.","Stiff person syndrome (SPS) is a rare, debilitating condition which presents with progressive and inconsistent neurological features. The main symptoms are stiffness and intermittent, painful muscle spasms, triggered and exacerbated by stressful and emotional stimuli. The fluctuating clinical nature of SPS, and otherwise normal neurological examination, often lead to a misdiagnosis of conversion disorder. Psychiatric symptoms frequently accompany this disorder and patients are often first seen by psychiatrists. SPS is autoimmune-based: antibodies are directed against glutamate decarboxylase, resulting in dysregulation of gamma-aminobutyric acid (GABA) in the brain which is considered the cause of the neuropsychiatric symptomatology. SPS should be considered in the differential diagnosis of conversion disorder. Effective management requires early detection, a collaborative approach with GABA-ergic medication and intravenous immunoglobulins, and management of concomitant psychiatric disorders. We describe a patient with SPS. Only one other case has been reported in South Africa.",2013,Nov,South African Journal of Psychiatry,19,4,228-231,WOS:000330142000007,10.7196/sajp.429,,6185,Pretorius 2013,,
ASSOCIATION OF HLA-DQB1-ASTERISK-0201 WITH STIFF-MAN SYNDROME,"Pugliese, A.; Solimena, M.; Awdeh, Z. L.; Alper, C. A.; Bugawan, T.; Erlich, H. A.; Decamilli, P.; Eisenbarth, G. S.","Stiff-man syndrome (SMS) is a rare disorder of the central nervous system of probable autoimmune origin. Patients with SMS often have other autoimmune diseases, in particular type I (insulin-dependent) diabetes mellitus (IDDM). Approximately 60% of patients with SMS have high titers of autoantibodies against the enzyme glutamic acid decarboxylase, Similar to SMS, the majority of patients with IDDM have autoantibodies against glutamic acid decarboxylase at or before diabetes onset, although usually at a lower titer and with a different reaction pattern than patients with SMS. To investigate the immunogenetic basis of SMS, we HLA-typed 18 patients with the disease. Seventy-two percent carried the DQB1*0201 allele (13 of 18, P = 0.02 vs. 18 of 48 controls), indicating that SMS is associated with this allele. DQB1*0201 is also a susceptibility allele for IDDM and other autoimmune diseases. Patients with SMS carried the IDDM-protective DQB1*0602 allele and other sequence-related DQB1*06 alleles with the same frequency observed in controls. In contrast, these alleles are rarely found in IDDM. Five of 8 (62.5%) SMS patients lacking a DQB1*06 allele were diabetic in contrast to only 2 of 10 (20%) with a DQB1*06 allele (P = 0.08), suggesting that the presence of DQB1*0602 or other DQB1*06 alleles may be associated with a reduced prevalence of diabetes among patients with SMS.",1993,Dec,Journal of Clinical Endocrinology & Metabolism,77,6,1550-1553,WOS:A1993MM20200021,10.1210/jc.77.6.1550,,6198,Pugliese 1993,,
Stiff Main syndrome good outcome after methylprednisolone pulse,"Rafai, M. A.; Oumari, S.; Boulaajaj, F. Z.; El Moutawakkil, B.; Slassi, I.",,2009,,Movement Disorders,24,,S453-S453,WOS:000266618101594,,,6204,Rafai 2009,,
Visual-induced startle reactions in a patient with stiff limb syndrome,"Schestatsky, P.; Pizzol, A. D.; Cabral, L.; Schuh, A. S.; Roriz-Cruz, M.; Batistela, F.; Monte, T. L.; Bianchin, M. M.; Rieder, C. R. M.",,2010,,Movement Disorders,25,7,S524-S524,WOS:000278341101477,,,6219,Schestatsky 2010,Gustavo  Da Prat (2023-06-22 07:14:41)(Select): abstract 1022; ,
Novel Use of Dual Immunomodulation To Treat the Cerebellar Variant of Stiff-Person Syndrome (SPS),"Sengupta, S.; Tarsy, D.; Jeyapalan, S.",,2009,Mar,Neurology,72,11,A28-A28,WOS:000264527900109,,,6248,Sengupta 2009,,
Stiff person syndrome (SPS): A pediatric case report,"Shah, N. S.; Hahn, A.; Banwell, B.",,2002,Jul,Journal of the Neurological Sciences,199,,S78-S78,WOS:000180247400343,,,6257,Shah 2002,,
Quantitative analysis of the silent period in the stiff-person syndrome,"Shatzel, A. J.; Fenton, G.; Maselli, R. A.",,2004,Oct,Muscle & Nerve,30,4,531-531,WOS:000224116900066,,,6268,Shatzel 2004,"Manfredi Carta (2024-08-21 22:23:44)(Included): on page 17
; Karlo Lizarraga (2023-07-01 11:18:10)(Select): Conference abstract (see page 13); ",Electrophysiology
Dementia in elderly male with Stiff man syndrome,"Sheyner, I.; Cutillar, M.",,2007,Apr,Journal of the American Geriatrics Society,55,4,S117-S117,WOS:000245752500343,,,6271,Sheyner 2007,,
Unusual Presentation of Paraneoplastic Stiff-Person Syndrome with Underlying Breast Cancer,"Shrestha, A.; Mihalova, T.; Burns, D.; Jennens, H.; Etti, R.",,2012,,Annals of Neurology,72,,S117-S117,WOS:000312938700461,,,6278,Shrestha 2012,,
"CHARACTERIZATION OF CD4+T CELLS SPECIFIC FOR GLUTAMIC ACID DECARBOXYLASE (GAD65) AND PROINSULIN IN A PATIENT WITH EPILEPSY AND STIFF-PERSON SYNDROME, BUT WITHOUT TYPE 1 DIABETES","Soilu-Hanninen, M.; Hanninen, A.; Hampe, C. S.; Deptula, A.; Geubtner, K.; Knip, M.; Reijonen, H.",,2010,Jun,Epilepsia,51,,34-34,WOS:000279404600108,,,6310,Soilu-Hanninen 2010,,
Stiff person syndrome,"Sommer, C.",,2007,,Journal of Neural Transmission,114,7,CVI-CVI,WOS:000248001800261,,,6321,Sommer 2007,,
PURELY TORSIONAL NYSTAGMUS IN A PATIENT WITH THE STIFF-MAN SYNDROME - A CASE-REPORT,"Stearns, M. Q.; Sinoff, S. E.; Rosenberg, M. L.",,1993,Apr,Neurology,43,4,A220-A220,WOS:A1993KY35600265,,,6336,Stearns 1993,,
Stiff person plus syndrome and voltage gated potassium channel antibody associated cognitive impairment: New evidence for an association?,"McGuigan, C.; Buckley, C.; Chang, T.; Vincent, A.; Everitt, E.",,2006,Dec,Journal of Neurology Neurosurgery and Psychiatry,77,12,1391-1392,WOS:000242133200050,,,6413,McGuigan 2006,,
Stiff-Man Syndrome and Variants,"McKeon, A.; Robinson, M. T.; McEvoy, K. M.; Matsumoto, J. Y.; Lennon, V. A.; Ahlskog, J. E.; Pittock, S. J.","Background: Little information is available about the incidence of stiff-man syndrome (SMS) (the classic form or its variants) or about long-term treatment responses and outcomes. Objective: To comprehensively describe the characteristics of a cohort of patients with SMS. Design: Observational study. Setting: Mayo Clinic, Rochester, Minnesota. Patients: Ninety-nine patients with classic SMS vs variants of the disorder, both glutamic acid decarboxylase 65 kD isoform (GAD65) antibody seropositive and seronegative. Main Outcome Measures: Neurological, autoimmune, serological, and oncological findings; treatments; and outcomes between January 1984 and December 2008. Results: The median follow-up duration was 5 years (range, 0-23 years). Seventy-nine patients (59 having classic SMS, 19 having partial SMS, and 1 having progressive encephalomyelitis with rigidity and myoclonus [PERM]) were GAD65 antibody seropositive. Sixty-seven percent (53 of 79) of them had at least 1 coexisting autoimmune disease, and 4% (3 of 79) had cancer. GAD65 antibody values at initial evaluation were significantly higher among patients with classic SMS (median value, 623 nmol/L) than among patients with partial SMS (median value, 163 nmol/L) (P <.001). The initial GAD65 antibody value was positively correlated with the last follow-up Rankin score (P=.03). Among 20 patients who were GAD65 antibody seronegative (6 with classic SMS, 12 with partial SMS, and 2 with PERM), 15% (3 of 20) had at least 1 coexisting autoimmune disease, and 25% (5 of 20) had cancer (3 with amphiphysin autoimmunity and breast carcinoma and 2 with Hodgkin lymphoma). Excluding patients with PERM, all patients but 1 had sustained improvements with at least 1 gamma-aminobutyric acid agent, usually diazepam; the median dosage for patients with classic SMS was 40.0 mg/d. Additional improvements occurred among 14 of 34 patients (41%) who received immunotherapy (intravenous immune globulin, azathioprine, prednisone, mycophenolate mofetil, or cyclophosphamide). Sixteen of 25 patients (64%) with extended follow-up duration remained ambulatory. Conclusions: Recognition of classic SMS vs variants is important because appropriate therapy improves symptoms in most patients. Classification by anatomical extent and by GAD65 antibody serostatus gives important diagnostic and prognostic information.",2012,Feb,Archives of Neurology,69,2,230-238,WOS:000300224800011,10.1001/archneurol.2011.991,,6420,McKeon 2012,,Review Article
"The case of a 30-year-old man with subacute gait instability, weakness, and muscle spasms","Mehta, M. P.; Sokol, L. L.","Case Summary A 30-year-old healthy man presents after a fall with diffuse weakness and pain and recent onset left eye ptosis in the setting of three weeks of progressive bilateral leg weakness, gait instability, and difficulty washing his hair due to upper extremity weakness. He had also developed stiffness in his neck and shoulders and uncontrollable muscle spasms. Exam was notable for ptosis, fatiguing weakness in extremities, increased tone, hyperreflexia with clonus, and spastic gait. A mediastinal mass was found on chest CT (Fig. 1), and biopsy confirmed an invasive thymoma with positive nodes. Serum testing was positive for antibodies to acetylcholine receptors as well as glutamic acid decarboxylase.",2020,Dec,Annals of Clinical and Translational Neurology,7,12,2535-2537,WOS:000588097500001,10.1002/acn3.51181,,6423,Mehta 2020,,
Absence of cutaneous silent period changes in a patient with stiff person syndrome,"Mekideche, A.; Kuzmanovic, I.; Sottas, C.; Truffert, A.",,2011,May,Journal of Neurology,258,,124-124,WOS:000289992800354,,,6442,Mekideche 2011,Karlo Lizarraga (2021-10-14 12:33:57)(Select): Unable to access abstract or full text.; ,Electrophysiology
Clinical spectrum of stiff person syndrome associated with glutamic acid decarboxylase antibodies,"Memon, A.; Rathnam, A.; Zaman, I.; Sripathi, N.",,2020,Apr,Neurology,94,15,,WOS:000536058009267,,,6444,Memon 2020,"Karlo Lizarraga (2021-10-14 12:38:01)(Select): Conference paper with potential for data extraction:
https://n.neurology.org/content/94/15_Supplement/5570; ",Clinical manifestations
SILENT MULTILEVEL VERTEBRAL FRACTURES IN A SEVERE CASE OF GLYCINE RECEPTOR ANTIBODY-POSITIVE PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY AND MYOCLONUS (PERM),"Min, M.; Liu, H.; Silberstein, P.",,2019,Jul,Journal of Neurology Neurosurgery and Psychiatry,90,E7,,WOS:000478895700093,10.1136/jnnp-2019-anzan.92,,6452,Min 2019,,
Treatment with intravenous prednisone and immunoglobulin in a case of progressive encephalomyelitis with rigidity,"Molina, J. A.; Porta, J.; Garcia-Morales, I.; Bermejo, F.; Jimenez-Jimenez, F. J.",,2000,Mar,Journal of Neurology Neurosurgery and Psychiatry,68,3,395-396,WOS:000085477500036,,,6465,Molina 2000,,
Polysomnagraphy (PSG) study of a patient with Stiff Person Syndrome,"Sun, Y. J.; Walters, A. S.",,2006,,Sleep,29,,A293-A293,WOS:000237916701238,,,6470,Sun 2006,,
Plasmapheresis in treatment of stiff-man syndrome with a negative anti-GAD antibody,"Svatova, J.; Machova, H.; Pitha, J.",,2002,,Movement Disorders,17,,S239-S239,WOS:000179489800816,,,6474,Svatova 2002,Natalie Witek (2021-10-13 04:59:48)(Select): ANTIBODY NEG; ,
Stiff limb syndrome: a case report and diagnostic criteria,"Syed, S.",,2012,Jun,Journal of Neurology,259,,S102-S102,WOS:000306083200283,,,6475,Syed 2012,Karlo Lizarraga (2023-07-01 23:32:37)(Select): Poster with potential for data extraction; ,
Agoraphobia and gait disorder resembling a psychogenic disease caused by the stiff-man syndrome,"Tesch, M.; Severus, E.; Holdorff, B.","We report on two patients with truncal rigidity and agoraphobia. The fear of crossing open places had been judged as psychogenic in both cases. The detection of positive GAD-antibodies led to our final diagnosis. Treatment with liquorphoresis and clonazepam or diazepam alone resulted in a prompt amelioration of the rigidity and, to a lesser extent, of the agoraphobia as well. The stiff-man syndrome has neurological and psychological aspects and shows one more facet of the syndrome of agoraphobia first described by Westphal.",1998,Nov,Psychiatrische Praxis,25,6,310-311,WOS:000077428800013,,,6493,Tesch 1998,Benjamin Vlad (2023-07-23 07:54:24)(Select): in german; Yasamin Mahjoub (2023-06-08 22:55:03)(Select): Request submitted to UCalgary Interlibrary loan; ,
Role of EMG evaluation in muscle hyperactivity syndromes,"Valls-Sole, J.; Montero, J.","Muscle hyperactivity can be a clinical feature on its own or, more commonly, an observation on electromyography (EMG) examinations. Whatever manifestation it takes, muscle hyperactivity always means enhanced excitability of muscle, axons or neurons. Clinical findings may be variable, ranging from fasciculations to muscle cramps. Even though clinical examination may lead in most instances to suggest the diagnosis of the underlying disease, EMG studies are necessary to identify the type of abnormal discharges and suggest the site of their suspected origin. Although in clinical studies, the action potential showing abnormal muscle hyperactivity is practically always recorded from muscle fibers, the site in which the impulse has arisen will determine its shape and firing patterns. In this review, we describe the EMG characteristics observed in syndromes featuring muscle hyperactivity and the pathophysiology underlying the abnormal firing of muscle fibers.",2004,Mar,Journal of Neurology,251,3,251-260,WOS:000220542800001,10.1007/s00415-004-0380-9,,6549,Valls-Sole 2004,,
Glycine receptor antibody-positive progressive encephalomyelitis with rigidity and myoclonus: A disease with variable clinical course,"Vanacker, P.; Peeters, E.; Schrooten, M.; Woodhall, M.; Vincent, A.; Vandenberghe, W.",,2012,Jun,Movement Disorders,27,,S202-S202,WOS:000305507702018,,,6553,Vanacker 2012,"Benjamin Vlad (2023-07-02 21:46:10)(Select): wrong full text, removed it; ",Review Article
Anti-GAD antibody-positive myoclonic leg jerks,"Velardo, D.; Nuara, A.; Martinelli, V.; Comi, G.; Fazio, R.",,2015,Apr,Neurological Sciences,36,4,647-648,WOS:000351612200027,10.1007/s10072-014-2058-0,,6561,Velardo 2015,,Review Article
Immune system modulation in a patient with stiff-man syndrome and insulin-dependent diabetes mellitus,"Walsh, D. J.; Davis, C.; Hirsch, I.; Wei, H.; Lernmark, A.",,1998,Jan,Journal of Investigative Medicine,46,1,101A-101A,WOS:000071684700539,,,6610,Walsh 1998,Yasamin Mahjoub (2023-06-08 23:14:30)(Select): Requested through UCalgary Interlibrary Loan; ,
A Clinical Characterization of Stiff Person Syndrome Spectrum Disorders,"Wang, Y. J.; Tian, F.; Aljarallah, S.; Fitzgerald, K.; Newsome, S. D.",,2020,Apr,Neurology,94,15,,WOS:000536058005105,,,6615,Wang 2020,,Clinical manifestations
Severe refractory stiff-person syndrome responding to rituximab therapy,"Whetton, E.; Ealing, J.; Bruce, I.; McKee, D.",,2008,Jun,Journal of Neurology,255,,173-174,WOS:000255747000661,,,6639,Whetton 2008,,
GLYCINE RECEPTOR ANTIBODY MEDIATED PROGRESSIVE ENCEPHALOMYELITIS WITH RIGIDITY AND MYOCLONUS (PERM) PRESENTING WITH RESPIRATORY COMPROMISE IN A 40-YEAR-OLD MALE,"Wickremaratchi, M.; Chalmers, R. M.; Stern, W.; Howard, R.; Woodhall, M. R.; Vincent, A.",,2012,Nov,Journal of Neurology Neurosurgery and Psychiatry,83,,A8-A8,WOS:000320869500029,10.1136/jnnp-2012-304200a.31,,6641,Wickremaratchi 2012,,
ATADI encephalopathy and stiff baby syndrome: a recognizable clinical presentation,"Wolf, N. I.; Zschocke, J.; Jakobs, C.; Rating, D.; Hoffmann, G. F.",,2018,Jun,Brain,141,,,WOS:000434113500006,10.1093/brain/awy095,,6664,Wolf 2018,Gustavo  Da Prat (2024-04-23 00:29:52)(Included): duplicate of - #821 – Wolf 2018; Karlo Lizarraga (2021-07-08 06:37:02)(Screen): This might be a duplicate; ,Clinical manifestations; Differential Diagnosis
A case of Stiff Person Syndrome associated with an invasive thymoma,"Wong, D. C. T.; Gibson, G.; Stoessl, A. J.",,2004,Apr,Neurology,62,7,A378-A379,WOS:000220761900948,,,6666,Wong 2004,,
"Current clinical conditions of stiff-person syndrome in China, a national survey","Xiong, N.; Yang, J.; Liu, L.; Xiong, J.; Zhang, X.; Zhang, G.; Huang, J.; Wang, T.",,2013,Jun,Movement Disorders,28,,S355-S356,WOS:000320940504113,,,6680,Xiong 2013,,
Stiff Person Syndrome Improvement with Chemotherapy in a Patient with Cutaneous T Cell Lymphoma,"Rakocevic, G.; Hussain, A.",,2012,Apr,Neurology,78,,,WOS:000303204802295,,,6683,Rakocevic 2012,,
Development of adenocarcinoma in stiff person syndrome (SPS) patients with anti-GAD antibodies: Report of 2 cases with SPS-specific antigens in their tumors,"Rakocevic, G.; Semino-Mora, C.; Dalakas, M. C.",,2007,,Annals of Neurology,62,,S64-S64,WOS:000249930600253,,,6690,Rakocevic 2007,"Manfredi Carta (2024-09-12 22:08:56)(Included): There was a duplicate, which I have removed now; Bettina Balint (2023-08-28 18:58:36)(Select): Think I saw that before? Need to check for duplicates; ",
Stiff person syndrome with cerebellar disease and epitope-specific anti-GAD antibodies,"Rakocevic, G.; Semino-Mora, C.; Raju, R.; Dalakas, M. C.",,2005,,Annals of Neurology,58,,S1-S1,WOS:000233197600004,,,6691,Rakocevic 2005,,
Biased usage of the T-cell-receptor (TCR) b-chain-variable-region (Vb) of CD4+ peripheral-blood-lymphocytes (PBL) in patients with stiff person syndrome (SPS),"Rakocevic, G.; Shatunov, A.; Raju, R.; Goldfarb, L. G.; Dalakas, M. C.",,2007,Mar,Neurology,68,12,A303-A303,WOS:000245175002144,,,6692,Rakocevic 2007,Yasamin Mahjoub (2023-06-11 23:33:33)(Select): Requested through UCalgary Interlibrary Loan; Yasamin Mahjoub (2023-06-08 09:17:45)(Select): Not on Neurology journal website archive; ,
"Stiff-Man Syndrome: Clinical Course, Treatments and Outcomes","Robinson, M. T.; Pittock, S. J.; Lennon, V. A.; Ahlskog, J. E.; McEvoy, K. M.; Matsumoto, J. Y.; McKeon, A.",,2010,,Annals of Neurology,68,4,S57-S57,WOS:000283398800230,,,6723,Robinson 2010,,
Parkinsonism related to progressive encephalomyelitis with rigidity and myoclonus,"Rodier, G.; Boulay, C.; Anheim, M.; Courtois, S.; Tranchant, C.",,2006,,Movement Disorders,21,,S520-S520,WOS:000241058001245,,,6726,Rodier 2006,,
Sleep Abnormalities in Stiff Person Syndrome and Stiff Leg Syndrome: A Further Evidence of a Dysfunction of GABA-ergic Inhibitory System,"Rosati, A.; Bongiovanni, L. G.; Benedetti, M. D.; Vianello, M.; Giometto, B.; Padovani, A.",,2009,Mar,Neurology,72,11,A325-A325,WOS:000264527902010,,,6732,Rosati 2009,Yasamin Mahjoub (2023-06-12 02:28:59)(Select): Requested through UCalgary Interlibrary Loan; Yasamin Mahjoub (2023-06-08 09:19:23)(Select): Not on Neurology Journal website archive; ,Clinical manifestations
Diabetic sera react with the glutamic acid decarboxylase molecule in a dimeric-oligomeric form,"Rowley, M. J.; Chen, Q. Y.; Teoh, K. L.; Zimmet, P. Z.; Tuomi, T.; Knowles, W. J.; McKay, I. R.","Glutamic acid decarboxylase (GAD) is a major autoantigen in insulin-dependent diabetes mellitus (IDDM). This was initially identified as a 64-65 kD molecule according to migration in gels after immunoprecipitation from pancreatic islets. We studied the antigenicity of two different radiolabelled preparations of GAD, derived either by affinity purification from porcine brain and known to contain GAD 65 and GAD 67, or by expression from a cDNA for human GAD 65 by rabbit reticulocyte lysate (RRL). Radiolabelled immunoprecipitated pellets from the reaction of potent antisera to GAD from patients with IDDM were examined by autoradiography after SDS-PAGE under reducing or non-reducing conditions. Also, preparations of porcine brain GAD were 'depleted' of GAD by exposure to antisera, and then similarly re-examined. Autoradiography of radiolabelled GAD either affinity purified from porcine brain, or expressed by RRL, showed that the immunoprecipitated protein migrated under non-reducing conditions according to a M(r) of similar to 110-130 kD, corresponding to dimeric forms of monomeric GAD of similar to 55-65 kD. Depletion by immunoprecipitation of this minor higher M(r) component from preparations of GAD left, in the supernatant, an abundance of GAD of M(r) 64-65 kD corresponding to monomer that was completely non-reactive with potent IDDM sera. We conclude that IDDM sera react with the GAD molecule in a dimeric (or oligomeric) form. Our findings have general connotations for self-tolerance and autoimmunity.",1996,Nov,Clinical and Experimental Immunology,106,2,323-328,WOS:A1996VQ33800020,10.1046/j.1365-2249.1996.d01-827.x,,6745,Rowley 1996,,
Ophthalmoplegia and Downbeat Nystagmus in Stiff-Person Syndrome,"Rucker, J. C.; Szewka, A.",,2009,Mar,Neurology,72,11,A186-A186,WOS:000264527901114,,,6746,Rucker 2009,Karlo Lizarraga (2023-07-01 12:29:50)(Select): Conference abstract; ,
